,state_name,state_name_normalized,city_name,city_name_normalized,place_type,population:normalized,wikidata,centroid
4243,Florida,florida,Jacksonville,jacksonville,city,949611,Q16568,POINT (-81.66004657538865 30.337106047698153)
4244,Florida,florida,Tallahassee,tallahassee,city,186411,Q37043,POINT (-84.25247044572465 30.45489611964551)
4250,Florida,florida,Orlando,orlando,city,307573,Q49233,POINT (-81.31336124605956 28.47134127434491)
4255,Florida,florida,Winter Park,winter_park,town,28083,Q986641,POINT (-81.3442048631223 28.5988004287402)
4271,Florida,florida,Coral Gables,coral_gables,town,42794,Q427559,POINT (-80.24946025557081 25.676738323574998)
4289,Florida,florida,Miami Gardens,miami_gardens,city,98989,Q721455,POINT (-80.24252838815156 25.94324502674537)
4292,Florida,florida,Miami,miami,city,442241,Q8652,POINT (-80.20981706939561 25.775337316574767)
4295,Florida,florida,Marco Island,marco_island,town,15760,Q985306,POINT (-81.70115040228728 25.93327896859401)
4307,Florida,florida,Palm Coast,palm_coast,city,68013,Q610463,POINT (-81.2467568323666 29.53962829751158)
4318,Florida,florida,Tampa,tampa,city,421042,Q49255,POINT (-82.47597489796608 27.967147186917312)
4418,Florida,florida,Jensen Beach,jensen_beach,town,11707,Q2375999,POINT (-80.24206101612215 27.244085452255828)
4421,Florida,florida,Port Salerno,port_salerno,town,10091,Q2355741,POINT (-80.18938483769348 27.146197096271038)
4449,Georgia,georgia,LaGrange,lagrange,town,30452,Q593529,POINT (-85.0313269 33.039291)
4451,Georgia,georgia,Fort Oglethorpe,fort_oglethorpe,town,10423,Q3263751,POINT (-85.2456607 34.9499947)
4468,Georgia,georgia,Rome,rome,town,36303,Q6580,POINT (-85.1646726 34.257038)
4469,Georgia,georgia,Carrollton,carrollton,town,21878,Q1852070,POINT (-85.0766113 33.5801103)
4481,Georgia,georgia,Smyrna,smyrna,city,56685,Q958676,POINT (-84.5147454 33.883887)
4483,Georgia,georgia,Decatur,decatur,town,23832,Q986200,POINT (-84.296069 33.7737582)
4487,Georgia,georgia,Peachtree Corners,peachtree_corners,town,43268,Q4846515,POINT (-84.2215869 33.9701009)
4489,Georgia,georgia,Bainbridge,bainbridge,town,12087,Q788794,POINT (-84.5754768 30.9038252)
4495,Georgia,georgia,Atlanta,atlanta,city,506804,Q23556,POINT (-84.3898151 33.7544657)
4502,Georgia,georgia,Milledgeville,milledgeville,town,27070,Q1885071,POINT (-83.2320991 33.0801429)
4503,Georgia,georgia,Kennesaw,kennesaw,town,34344,Q1001316,POINT (-84.6154897 34.0234337)
4505,Georgia,georgia,Hinesville,hinesville,town,33140,Q1994691,POINT (-81.5960705 31.8477347)
4507,Georgia,georgia,Lilburn,lilburn,town,12700,Q2097325,POINT (-84.1429719 33.8901036)
4520,Georgia,georgia,Peachtree City,peachtree_city,town,35262,Q2467256,POINT (-84.5898256 33.3975472)
4526,Georgia,georgia,Cordele,cordele,town,11147,Q2210265,POINT (-83.782718 31.9691606)
4527,Georgia,georgia,Milton,milton,town,38924,Q3260721,POINT (-84.2693745 34.1134001)
4532,Georgia,georgia,Sandy Springs,sandy_springs,city,106739,Q914884,POINT (-84.3785379 33.9242688)
4534,Georgia,georgia,Cusseta,cusseta,town,11267,Q2153623,POINT (-84.7727027 32.3054268)
4541,Georgia,georgia,College Park,college_park,town,14959,Q388435,POINT (-84.4493725 33.6534427)
4544,Georgia,georgia,Suwanee,suwanee,town,19549,Q1858545,POINT (-84.0712997 34.0514898)
4545,Georgia,georgia,Duluth,duluth,town,29463,Q285751,POINT (-84.1441046 34.0028569)
4546,Georgia,georgia,Warner Robins,warner_robins,city,74854,Q2003323,POINT (-83.606568 32.6200973)
4548,Georgia,georgia,Newnan,newnan,town,38909,Q988123,POINT (-84.7996573 33.3806716)
4551,Georgia,georgia,Riverdale,riverdale,town,16439,Q3260888,POINT (-84.4132594 33.5726113)
4562,Georgia,georgia,Brunswick,brunswick,town,15210,Q994144,POINT (-81.4914894 31.1499528)
4579,Georgia,georgia,Doraville,doraville,town,10540,Q2111734,POINT (-84.2832564 33.8981579)
4585,Georgia,georgia,Woodstock,woodstock,town,31564,Q2797172,POINT (-84.5192192 34.1014112)
4588,Georgia,georgia,Winder,winder,town,16244,Q2443384,POINT (-83.7184368 33.9919085)
4590,Georgia,georgia,Fort Valley,fort_valley,town,10000,Q260197,POINT (-83.8874084 32.5537585)
4593,Georgia,georgia,Johns Creek,johns_creek,city,84350,Q1191460,POINT (-84.190196 34.0181557)
4601,Georgia,georgia,Scottdale,scottdale,town,11221,Q2093120,POINT (-84.2640889 33.7898269)
4606,Georgia,georgia,Georgetown,georgetown,town,12621,Q2594891,POINT (-81.2273334 31.9832644)
4610,Georgia,georgia,Conyers,conyers,town,16015,Q985304,POINT (-84.0176904 33.6676103)
4611,Georgia,georgia,Norcross,norcross,town,16845,Q2581974,POINT (-84.2135309 33.9412127)
4621,Georgia,georgia,Wilmington Island,wilmington_island,town,15005,Q2365290,POINT (-80.973723 32.0035477)
4622,Georgia,georgia,Macon,macon,city,152663,Q219656,POINT (-83.6324022 32.8406946)
4628,Georgia,georgia,Douglas,douglas,town,11246,Q1004791,POINT (-82.8498654 31.5088073)
4631,Georgia,georgia,Loganville,loganville,town,12062,Q1590654,POINT (-83.9007382 33.8389977)
4634,Georgia,georgia,North Druid Hills,north_druid_hills,town,18331,Q2212696,POINT (-84.3132574 33.8167711)
4638,Georgia,georgia,Buford,buford,town,14868,Q1002205,POINT (-84.0043513 34.1206564)
4657,Georgia,georgia,Jefferson,jefferson,town,11136,Q1966822,POINT (-83.5723876 34.1170537)
4659,Georgia,georgia,Calhoun,calhoun,town,14015,Q1022996,POINT (-84.9510542 34.502587)
4662,Georgia,georgia,Richmond Hill,richmond_hill,town,13265,Q581910,POINT (-81.3035515 31.9382381)
4664,Georgia,georgia,Columbus,columbus,city,189885,Q239870,POINT (-84.9880449 32.4610708)
4668,Georgia,georgia,Thomasville,thomasville,town,18988,Q1192860,POINT (-83.9787808 30.8365815)
4669,Georgia,georgia,East Point,east_point,town,35282,Q2933940,POINT (-84.4393724 33.6795531)
4684,Georgia,georgia,Roswell,roswell,city,94786,Q585176,POINT (-84.360022 34.02332)
4693,Georgia,georgia,Belvedere Park,belvedere_park,town,15951,Q2054260,POINT (-84.2673149 33.7548545)
4696,Georgia,georgia,Albany,albany,city,75335,Q285599,POINT (-84.1556809 31.5782062)
4697,Georgia,georgia,Kingsland,kingsland,town,18337,Q2398546,POINT (-81.6898261 30.7999563)
4713,Georgia,georgia,Dublin,dublin,town,15811,Q2671021,POINT (-82.903754 32.5404447)
4721,Georgia,georgia,Union City,union_city,town,21370,Q3261692,POINT (-84.5424299 33.5870558)
4732,Georgia,georgia,Dunwoody,dunwoody,town,46609,Q1208436,POINT (-84.3342686 33.9463786)
4750,Georgia,georgia,Pooler,pooler,town,23816,Q2648622,POINT (-81.2495131 32.1158983)
4759,Georgia,georgia,North Decatur,north_decatur,town,16652,Q3302345,POINT (-84.3062609 33.7903916)
4761,Georgia,georgia,Valdosta,valdosta,city,56426,Q1010240,POINT (-83.2784851 30.8327022)
4762,Georgia,georgia,Athens,athens,city,127064,Q203263,POINT (-83.376398 33.9597677)
4769,Georgia,georgia,Chamblee,chamblee,town,29428,Q2527605,POINT (-84.2988296 33.892176)
4770,Georgia,georgia,Waycross,waycross,town,14649,Q615027,POINT (-82.3540178 31.2135511)
4772,Georgia,georgia,Acworth,acworth,town,22698,Q344933,POINT (-84.6768796 34.0659329)
4777,Georgia,georgia,Snellville,snellville,town,19738,Q1639930,POINT (-84.0199108 33.857328)
4779,Georgia,georgia,Americus,americus,town,17041,Q123067,POINT (-84.2326876 32.0723862)
4780,Georgia,georgia,Canton,canton,town,27936,Q2207351,POINT (-84.4907621 34.2367621)
4787,Georgia,georgia,Lawrenceville,lawrenceville,town,30629,Q970174,POINT (-83.9890066 33.9566391)
4790,Georgia,georgia,Gainesville,gainesville,town,42296,Q651051,POINT (-83.8240663 34.2978794)
4793,Georgia,georgia,Alpharetta,alpharetta,city,65818,Q1003649,POINT (-84.2945964 34.0755962)
4798,Georgia,georgia,Braselton,braselton,town,10947,Q899020,POINT (-83.7626729 34.1092735)
4799,Georgia,georgia,Brookhaven,brookhaven,city,53518,Q154462,POINT (-84.340203 33.8584368)
4803,Georgia,georgia,Sugar Hill,sugar_hill,town,23180,Q960986,POINT (-84.0335197 34.1064895)
4805,Georgia,georgia,Mountain Park,mountain_park,town,13580,Q2315279,POINT (-84.1293605 33.8442169)
4818,Georgia,georgia,Fayetteville,fayetteville,town,17802,Q782494,POINT (-84.4549262 33.4487257)
4830,Georgia,georgia,Griffin,griffin,town,22770,Q1012372,POINT (-84.2640904 33.2467807)
4831,Georgia,georgia,McDonough,mcdonough,town,24755,Q2075251,POINT (-84.1468616 33.4473361)
4838,Georgia,georgia,Saint Marys,saint_marys,town,18256,Q921619,POINT (-81.5485714 30.7203759)
4849,Georgia,georgia,Dalton,dalton,town,33045,Q996830,POINT (-84.9702475 34.7691867)
4862,Georgia,georgia,Powder Springs,powder_springs,town,15052,Q3261052,POINT (-84.683824 33.8595492)
4870,Georgia,georgia,Douglasville,douglasville,town,33675,Q2856147,POINT (-84.7477136 33.7514966)
4880,Georgia,georgia,Holly Springs,holly_springs,town,11935,Q1940673,POINT (-84.5013187 34.1739857)
4883,Georgia,georgia,Clarkston,clarkston,town,12848,Q2638470,POINT (-84.2396434 33.8095487)
4886,Georgia,georgia,Moultrie,moultrie,town,14638,Q3100551,POINT (-83.788579 31.1793436)
4893,Georgia,georgia,Cartersville,cartersville,town,20978,Q932346,POINT (-84.7997613 34.1652304)
4894,Georgia,georgia,Statesboro,statesboro,town,31667,Q988919,POINT (-81.7832912 32.4490141)
4897,Georgia,georgia,Augusta,augusta,city,202081,Q181962,POINT (-81.9748429 33.4709714)
4898,Georgia,georgia,Villa Rica,villa_rica,town,15345,Q2014975,POINT (-84.9191081 33.732052)
4902,Georgia,georgia,Fairburn,fairburn,town,15520,Q3261359,POINT (-84.5810418 33.5670562)
4903,Georgia,georgia,Monroe,monroe,town,13484,Q1150751,POINT (-83.713229 33.7948364)
4912,Georgia,georgia,Covington,covington,town,14192,Q1193960,POINT (-83.8598742 33.5966005)
4919,Georgia,georgia,Perry,perry,town,16684,Q668422,POINT (-83.7319658 32.4586695)
4924,Georgia,georgia,Forest Park,forest_park,town,19823,Q3261685,POINT (-84.3690918 33.6220542)
4927,Georgia,georgia,Vinings,vinings,town,11816,Q1368346,POINT (-84.4643744 33.8648262)
4928,Georgia,georgia,St. Simons,st._simons,town,14982,Q1523372,POINT (-81.3895192 31.1353801)
4929,Georgia,georgia,Tifton,tifton,town,16869,Q2729512,POINT (-83.5108284 31.4549719)
4934,Georgia,georgia,Stockbridge,stockbridge,town,29114,Q3260995,POINT (-84.2338093 33.5442781)
4956,Georgia,georgia,Mableton,mableton,town,38839,Q2656942,POINT (-84.5822632 33.8188333)
4960,Georgia,georgia,Savannah,savannah,city,147780,Q83813,POINT (-81.0921335 32.0790074)
4963,Georgia,georgia,Lithia Springs,lithia_springs,town,17743,Q3130627,POINT (-84.6604899 33.7939953)
4964,Georgia,georgia,Panthersville,panthersville,town,10232,Q2127460,POINT (-84.2718667 33.7073291)
4965,Georgia,georgia,Dallas,dallas,town,13237,Q1003667,POINT (-84.8407732 33.9237141)
4973,Georgia,georgia,Marietta,marietta,city,61048,Q852684,POINT (-84.5496148 33.9528472)
4979,Georgia,georgia,South Fulton,south_fulton,city,95000,Q7567323,POINT (-84.6712292 33.5902659)
4980,Georgia,georgia,Stonecrest,stonecrest,city,54471,Q28456847,POINT (-84.1358505 33.6831296)
4981,Georgia,georgia,Tucker,tucker,town,36130,Q2051179,POINT (-84.2200729 33.8532701)
4983,Georgia,georgia,Candler-McAfee,candler-mcafee,town,23478,Q2551891,POINT (-84.2834133 33.7319153)
4984,Georgia,georgia,Redan,redan,town,34100,Q2111226,POINT (-84.1655302 33.7558824)
4992,Georgia,georgia,Mulberry,mulberry,town,39560,Q134970817,POINT (-83.9060502 34.0691457)
4993,Georgia,georgia,Cumberland,cumberland,city,103000,,POINT (-84.4607105 33.8973418)
4994,Georgia,georgia,North Augusta,north_augusta,town,21348,Q2698647,POINT (-81.95479215759902 33.52126979841473)
4996,Georgia,georgia,East Ridge,east_ridge,town,20979,Q2360439,POINT (-85.22852524724212 34.997276544728145)
5001,Hawaii,hawaii,Honolulu,honolulu,city,350964,Q18094,POINT (-157.855676 21.304547)
5002,Hawaii,hawaii,Hilo,hilo,town,44186,Q216258,POINT (-155.08158 19.7073734)
5003,Hawaii,hawaii,Lahaina,lahaina,town,12702,Q1012971,POINT (-156.677678 20.8738769)
5022,Hawaii,hawaii,Waipahu,waipahu,city,71894,Q637246,POINT (-158.009166 21.3866667)
5025,Hawaii,hawaii,Pearl City,pearl_city,town,47698,Q572052,POINT (-157.969428 21.4001231)
5051,Hawaii,hawaii,Aiea,aiea,town,23068,Q423505,POINT (-157.9336111 21.3822222)
5060,Hawaii,hawaii,Waiʻanae,waiʻanae,town,13177,Q1413686,POINT (-158.185272 21.446678)
5061,Hawaii,hawaii,Kāneʻohe,kāneʻohe,town,34597,Q1484530,POINT (-157.804184 21.418555)
5062,Hawaii,hawaii,Mililani,mililani,town,48668,Q2003096,POINT (-158.0095783 21.4508308)
5063,Hawaii,hawaii,Ewa Beach,ewa_beach,town,14955,Q2138861,POINT (-158.008804 21.315603)
5065,Hawaii,hawaii,Nānākuli,nānākuli,town,12666,Q2630701,POINT (-158.152313 21.389147)
5074,Hawaii,hawaii,Kailua,kailua,town,38635,Q532459,POINT (-157.743759 21.393623)
5090,Hawaii,hawaii,Wailuku,wailuku,town,15313,Q2087831,POINT (-156.503093 20.8905443)
5094,Hawaii,hawaii,Kapolei,kapolei,town,33482,Q3110254,POINT (-158.077849 21.3340079)
5104,Hawaii,hawaii,Kahului,kahului,town,26337,Q1012975,POINT (-156.4727118 20.8894101)
5111,Hawaii,hawaii,East Honolulu,east_honolulu,city,50922,Q4243048,POINT (-157.7173915 21.2891309)
5122,Hawaii,hawaii,Lahaina,lahaina,town,12702,Q1012971,POINT (-156.67471062396356 20.888167863532313)
5134,Hawaii,hawaii,Hilo,hilo,town,44186,Q216258,POINT (-155.08401854445052 19.692341188392415)
5162,Idaho,idaho,Boise,boise,city,235684,Q35775,POINT (-116.200886 43.6166163)
5163,Idaho,idaho,Nampa,nampa,city,117350,Q622633,POINT (-116.5616885 43.5780381)
5164,Idaho,idaho,Caldwell,caldwell,city,73088,Q849592,POINT (-116.689415 43.6678736)
5165,Idaho,idaho,Meridian,meridian,city,117635,Q1085274,POINT (-116.392326 43.6086295)
5166,Idaho,idaho,Rexburg,rexburg,town,40695,Q818311,POINT (-111.7837279 43.826079)
5168,Idaho,idaho,Pocatello,pocatello,city,56320,Q320729,POINT (-112.450627 42.8620287)
5170,Idaho,idaho,Blackfoot,blackfoot,town,11899,Q1444005,POINT (-112.348357 43.190039)
5173,Idaho,idaho,Hayden,hayden,town,12349,Q1515168,POINT (-116.7866807 47.7590638)
5185,Idaho,idaho,Lewiston,lewiston,town,32544,Q505539,POINT (-117.0216144 46.4195913)
5195,Idaho,idaho,Burley,burley,town,10345,Q844028,POINT (-113.792794 42.5357428)
5196,Idaho,idaho,Coeur d'Alene,coeur_d'alene,town,49122,Q499681,POINT (-116.7811531 47.6742994)
5202,Idaho,idaho,Eagle,eagle,town,24785,Q1516870,POINT (-116.3540138 43.6954424)
5223,Idaho,idaho,Kuna,kuna,town,24011,Q1515177,POINT (-116.420122 43.4918307)
5240,Idaho,idaho,Sandpoint,sandpoint,town,10444,Q913220,POINT (-116.5487835 48.2761306)
5255,Idaho,idaho,Garden City,garden_city,town,11911,Q1516892,POINT (-116.238178 43.622111)
5260,Idaho,idaho,Moscow,moscow,town,22352,Q499927,POINT (-117.000165 46.7323875)
5273,Idaho,idaho,Mountain Home,mountain_home,town,15979,Q1519589,POINT (-115.6939827 43.1318937)
5317,Idaho,idaho,Post Falls,post_falls,town,38485,Q737345,POINT (-116.9480877 47.7110106)
5321,Idaho,idaho,Star,star,town,12467,Q1516815,POINT (-116.493463 43.6921071)
5344,Idaho,idaho,Idaho Falls,idaho_falls,city,61459,Q496360,POINT (-112.03628 43.4887907)
5347,Idaho,idaho,Ammon,ammon,town,15252,Q937598,POINT (-111.9641319 43.4768028)
5348,Idaho,idaho,Twin Falls,twin_falls,town,49764,Q548384,POINT (-114.4700684 42.5558542)
5356,Idaho,idaho,Chubbuck,chubbuck,town,15570,Q1515246,POINT (-112.4661896 42.9202973)
5375,Idaho,idaho,Hayden,hayden,town,12349,Q1515168,POINT (-116.80389876806655 47.768043110304404)
5384,Idaho,idaho,Post Falls,post_falls,town,38485,Q737345,POINT (-116.93864627956793 47.721318655539655)
5387,Idaho,idaho,Coeur d'Alene,coeur_d'alene,town,49122,Q499681,POINT (-116.79339079736626 47.703983865232466)
5405,Idaho,idaho,Lewiston,lewiston,town,32544,Q505539,POINT (-116.99324754401303 46.393418626112634)
5468,Idaho,idaho,Twin Falls,twin_falls,town,49764,Q548384,POINT (-114.46178373140143 42.564656006961265)
5471,Idaho,idaho,Boise,boise,city,235684,Q35775,POINT (-116.22929323163628 43.59874717713863)
5472,Idaho,idaho,Eagle,eagle,town,24785,Q1516870,POINT (-116.39024292311906 43.72285891203679)
5512,Idaho,idaho,Chubbuck,chubbuck,town,15570,Q1515246,POINT (-112.46234642651935 42.926281168713054)
5521,Idaho,idaho,Moscow,moscow,town,22352,Q499927,POINT (-116.99994531324776 46.728785342882695)
5561,Illinois,illinois,Downers Grove,downers_grove,town,49437,Q1007011,POINT (-88.0102281 41.7936822)
5563,Illinois,illinois,Woodstock,woodstock,town,25630,Q991162,POINT (-88.4474302 42.3147529)
5565,Illinois,illinois,Belvidere,belvidere,town,25585,Q185609,POINT (-88.841734 42.2579991)
5568,Illinois,illinois,Normal,normal,city,52497,Q575407,POINT (-88.9843937 40.5092961)
5569,Illinois,illinois,Godfrey,godfrey,town,17825,Q1533793,POINT (-90.1867765 38.9556031)
5574,Illinois,illinois,Jacksonville,jacksonville,town,17616,Q577853,POINT (-90.228782 39.7343697)
5589,Illinois,illinois,Canton,canton,town,14797,Q578911,POINT (-90.0351167 40.5580945)
5593,Illinois,illinois,Quincy,quincy,town,40034,Q575750,POINT (-91.4098727 39.9356016)
5636,Illinois,illinois,Wood River,wood_river,town,10464,Q185601,POINT (-90.0976069 38.861159)
5659,Illinois,illinois,Moline,moline,town,42985,Q579736,POINT (-90.5136642 41.5058344)
5660,Illinois,illinois,Rock Island,rock_island,town,37108,Q577878,POINT (-90.5792031 41.5095446)
5663,Illinois,illinois,Galesburg,galesburg,town,30052,Q782574,POINT (-90.3712169 40.9475652)
5693,Illinois,illinois,Nameoki,nameoki,town,12104,Q8001161,POINT (-90.1234948 38.7263842)
5749,Illinois,illinois,Cahokia Heights,cahokia_heights,town,22552,Q106946582,POINT (-90.1913175 38.5704482)
5751,Illinois,illinois,Granite City,granite_city,town,27549,Q176907,POINT (-90.1487199 38.7014389)
5783,Illinois,illinois,Macomb,macomb,town,21516,Q575389,POINT (-90.6713939 40.4588934)
5803,Illinois,illinois,Alton,alton,town,25676,Q443852,POINT (-90.1843091 38.8908583)
5809,Illinois,illinois,East Saint Louis,east_saint_louis,town,18469,Q577891,POINT (-90.159707 38.6268666)
5813,Illinois,illinois,East Moline,east_moline,town,21374,Q578055,POINT (-90.4420411 41.5152157)
5828,Illinois,illinois,Mundelein,mundelein,town,31560,Q1812582,POINT (-88.0039653 42.263079)
5829,Illinois,illinois,Woodridge,woodridge,town,32971,Q1020589,POINT (-88.045559 41.7563344)
5831,Illinois,illinois,Machesney Park,machesney_park,town,22423,Q1013494,POINT (-89.0389956 42.3472406)
5837,Illinois,illinois,Morton Grove,morton_grove,town,25297,Q1641893,POINT (-87.7825696 42.0405857)
5840,Illinois,illinois,Geneva,geneva,town,21393,Q576152,POINT (-88.3053525 41.8875281)
5843,Illinois,illinois,Harvey,harvey,town,19781,Q577973,POINT (-87.6467132 41.6100344)
5848,Illinois,illinois,Des Plaines,des_plaines,city,60675,Q386961,POINT (-87.8873916 42.0415823)
5854,Illinois,illinois,Sycamore,sycamore,town,16270,Q432099,POINT (-88.6867538 41.9889173)
5856,Illinois,illinois,Barrington,barrington,town,10772,Q808937,POINT (-88.1361888 42.1539141)
5864,Illinois,illinois,Algonquin,algonquin,town,30897,Q328446,POINT (-88.2942493 42.1655801)
5869,Illinois,illinois,Norridge,norridge,town,15251,Q2666488,POINT (-87.827284 41.9633641)
5871,Illinois,illinois,Lake Forest,lake_forest,town,19367,Q575355,POINT (-87.8407055 42.2586461)
5875,Illinois,illinois,Berwyn,berwyn,city,57250,Q578072,POINT (-87.7936685 41.8505874)
5876,Illinois,illinois,Lake Zurich,lake_zurich,town,19759,Q1111226,POINT (-88.0934108 42.1969689)
5887,Illinois,illinois,Beach Park,beach_park,town,14249,Q2671206,POINT (-87.8572955 42.4222435)
5904,Illinois,illinois,Chicago Ridge,chicago_ridge,town,14433,Q1827599,POINT (-87.7792196 41.7014217)
5908,Illinois,illinois,Summit,summit,town,11161,Q2674024,POINT (-87.810334 41.7880876)
5909,Illinois,illinois,Riverdale,riverdale,town,10299,Q2668893,POINT (-87.6331021 41.6333678)
5910,Illinois,illinois,La Grange,la_grange,town,16321,Q968621,POINT (-87.8735662 41.81483)
5912,Illinois,illinois,Chicago,chicago,city,2746388,Q1297,POINT (-87.6244212 41.8755616)
5915,Illinois,illinois,St. Charles,st._charles,town,32400,Q578481,POINT (-88.3128183 41.9139808)
5931,Illinois,illinois,Burr Ridge,burr_ridge,town,11192,Q2671247,POINT (-87.9161818 41.7502971)
5940,Illinois,illinois,Forest Park,forest_park,town,14339,Q2483749,POINT (-87.8136997 41.8794989)
5943,Illinois,illinois,Elk Grove Village,elk_grove_village,town,32812,Q328455,POINT (-88.0037711 42.0035588)
5945,Illinois,illinois,Romeoville,romeoville,town,39863,Q1012403,POINT (-88.0895061 41.6475306)
5946,Illinois,illinois,Kankakee,kankakee,town,24052,Q578351,POINT (-87.8611531 41.1200325)
5953,Illinois,illinois,Pontiac,pontiac,town,11353,Q574912,POINT (-88.6297839 40.8808666)
5959,Illinois,illinois,Crest Hill,crest_hill,town,20459,Q121943,POINT (-88.0986709 41.554753)
5963,Illinois,illinois,Rantoul,rantoul,town,12309,Q1025637,POINT (-88.1558785 40.3083672)
5964,Illinois,illinois,Park Ridge,park_ridge,town,39656,Q576273,POINT (-87.8406031 42.0112329)
5967,Illinois,illinois,Roselle,roselle,town,22897,Q2508487,POINT (-88.0799571 41.9852583)
5972,Illinois,illinois,Lincoln,lincoln,town,14822,Q568563,POINT (-89.3636569 40.1481349)
5975,Illinois,illinois,Shiloh,shiloh,town,14098,Q1641918,POINT (-89.8973233 38.5614383)
5980,Illinois,illinois,Midlothian,midlothian,town,13821,Q2500754,POINT (-87.7175491 41.6253116)
5981,Illinois,illinois,Urbana,urbana,town,41250,Q462184,POINT (-88.207301 40.1117174)
5990,Illinois,illinois,Frankfort,frankfort,town,20296,Q2384761,POINT (-87.8495946 41.4979467)
5994,Illinois,illinois,Mount Prospect,mount_prospect,city,56852,Q995793,POINT (-87.9372908 42.0664167)
5999,Illinois,illinois,Plainfield,plainfield,town,42933,Q1012017,POINT (-88.2054345 41.6086711)
6001,Illinois,illinois,Maywood,maywood,town,23512,Q165247,POINT (-87.8436412 41.8789942)
6005,Illinois,illinois,Gurnee,gurnee,town,30706,Q277066,POINT (-87.9020186 42.3702996)
6010,Illinois,illinois,Belleville,belleville,town,42404,Q79892,POINT (-89.9841627 38.5135805)
6020,Illinois,illinois,Hazel Crest,hazel_crest,town,13382,Q2599354,POINT (-87.6945746 41.571713)
6036,Illinois,illinois,River Forest,river_forest,town,11794,Q2299339,POINT (-87.8139483 41.8978091)
6047,Illinois,illinois,Centralia,centralia,town,15783,Q575126,POINT (-89.1334037 38.5250491)
6053,Illinois,illinois,Lisle,lisle,town,24223,Q1023953,POINT (-88.0747687 41.801159)
6064,Illinois,illinois,Buffalo Grove,buffalo_grove,town,43212,Q967086,POINT (-87.9589621 42.1544205)
6068,Illinois,illinois,Groveland,groveland,town,18239,Q5611484,POINT (-89.5345422 40.5925386)
6072,Illinois,illinois,Bridgeview,bridgeview,town,17027,Q913915,POINT (-87.8042216 41.7500323)
6074,Illinois,illinois,Collinsville,collinsville,town,24366,Q577845,POINT (-89.9845476 38.6703267)
6088,Illinois,illinois,Western Springs,western_springs,town,13629,Q2666737,POINT (-87.900671 41.8096132)
6090,Illinois,illinois,Hickory Hills,hickory_hills,town,14505,Q577695,POINT (-87.825055 41.7255879)
6092,Illinois,illinois,Burbank,burbank,town,29439,Q578150,POINT (-87.7686078 41.741406)
6095,Illinois,illinois,Minooka,minooka,town,12758,Q2742114,POINT (-88.2617305 41.4553084)
6096,Illinois,illinois,Grayslake,grayslake,town,21387,Q2666920,POINT (-88.0412192 42.3433518)
6107,Illinois,illinois,Wood Dale,wood_dale,town,13518,Q575546,POINT (-87.9789562 41.9633625)
6108,Illinois,illinois,Marion,marion,town,16855,Q575399,POINT (-88.9331256 37.7306054)
6115,Illinois,illinois,Crestwood,crestwood,town,10826,Q1807599,POINT (-87.7525511 41.6611444)
6123,Illinois,illinois,Shorewood,shorewood,town,18186,Q2308441,POINT (-88.2017293 41.5200305)
6126,Illinois,illinois,Homer Glen,homer_glen,town,24543,Q2668429,POINT (-87.9381112 41.6000318)
6128,Illinois,illinois,La Grange Park,la_grange_park,town,13475,Q2358179,POINT (-87.8677324 41.8333646)
6132,Illinois,illinois,Waukegan,waukegan,city,89321,Q578289,POINT (-87.8318164 42.3602273)
6140,Illinois,illinois,Highland Park,highland_park,town,30176,Q576671,POINT (-87.7993245 42.1836719)
6155,Illinois,illinois,Skokie,skokie,city,67824,Q985536,POINT (-87.7521069 42.0262972)
6156,Illinois,illinois,Glen Ellyn,glen_ellyn,town,28846,Q1530761,POINT (-88.0670118 41.8775293)
6166,Illinois,illinois,Mokena,mokena,town,19887,Q2359062,POINT (-87.8892189 41.5261437)
6175,Illinois,illinois,Westmont,westmont,town,24429,Q1812554,POINT (-87.9751964 41.7950525)
6178,Illinois,illinois,Oak Park,oak_park,city,54583,Q331397,POINT (-87.7887615 41.8878145)
6185,Illinois,illinois,Bourbonnais,bourbonnais,town,18164,Q2110162,POINT (-87.8839693 41.1639309)
6188,Illinois,illinois,Hinsdale,hinsdale,town,17395,Q939529,POINT (-87.9299841 41.8024604)
6202,Illinois,illinois,Joliet,joliet,city,150362,Q40345,POINT (-88.0840212 41.5263603)
6203,Illinois,illinois,Vernon Hills,vernon_hills,town,25000,Q1973428,POINT (-87.9649487 42.2373152)
6208,Illinois,illinois,Lake in the Hills,lake_in_the_hills,town,29359,Q746488,POINT (-88.3303618 42.1816908)
6233,Illinois,illinois,Bradley,bradley,town,15419,Q2548702,POINT (-87.8613221 41.1421905)
6241,Illinois,illinois,Champaign,champaign,city,88302,Q577964,POINT (-88.2430932 40.1164841)
6243,Illinois,illinois,Glen Carbon,glen_carbon,town,13842,Q1375820,POINT (-89.983158 38.7483814)
6248,Illinois,illinois,Mattoon,mattoon,town,17340,Q575271,POINT (-88.3773279 39.4842821)
6257,Illinois,illinois,Round Lake,round_lake,town,16220,Q2666736,POINT (-88.0934145 42.353355)
6260,Illinois,illinois,Mount Vernon,mount_vernon,town,16407,Q577971,POINT (-88.9031201 38.3172715)
6278,Illinois,illinois,North Aurora,north_aurora,town,18261,Q2668907,POINT (-88.3272952 41.8061399)
6287,Illinois,illinois,Niles,niles,town,30912,Q601166,POINT (-87.8122348 42.0289319)
